hvfhs_license_num,dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
HV0005,B02510,2021-01-01 00:57:21,2021-01-01 01:08:08,234,48,
HV0005,B02510,2021-01-01 00:20:52,2021-01-01 00:52:41,21,37,
HV0005,B02510,2021-01-01 00:57:25,2021-01-01 01:12:14,37,49,
HV0003,B02876,2021-01-01 00:34:27,2021-01-01 00:46:36,222,130,
HV0003,B02877,2021-01-01 00:22:51,2021-01-01 00:33:48,227,67,
HV0003,B02877,2021-01-01 00:38:02,2021-01-01 00:45:01,22,14,
HV0003,B02877,2021-01-01 00:52:53,2021-01-01 01:26:18,67,265,
HV0003,B02889,2021-01-01 00:09:37,2021-01-01 00:25:18,133,87,
HV0003,B02889,2021-01-01 00:30:50,2021-01-01 00:43:02,87,233,
HV0003,B02889,2021-01-01 00:53:30,2021-01-01 01:00:16,107,164,
HV0003,B02765,2021-01-01 00:13:42,2021-01-01 00:20:38,216,216,
HV0003,B02765,2021-01-01 00:27:56,2021-01-01 00:34:35,197,258,
HV0003,B02765,2021-01-01 00:38:59,2021-01-01 01:04:52,197,186,
HV0005,B02510,2021-01-01 00:58:00,2021-01-01 01:06:57,237,79,
HV0003,B02395,2021-01-01 00:25:59,2021-01-01 00:32:25,85,85,
HV0003,B02395,2021-01-01 00:37:13,2021-01-01 01:11:19,85,38,
HV0005,B02510,2021-01-01 00:21:22,2021-01-01 00:24:37,263,140,
HV0005,B02510,2021-01-01 00:28:58,2021-01-01 00:43:16,140,236,
HV0005,B02510,2021-01-01 00:49:18,2021-01-01 00:56:14,74,74,
HV0005,B02510,2021-01-01 00:07:04,2021-01-01 00:23:08,79,234,
HV0005,B02510,2021-01-01 00:39:13,2021-01-01 01:00:51,224,143,
HV0003,B02871,2021-01-01 00:56:01,2021-01-01 01:09:19,17,255,
HV0005,B02510,2021-01-01 00:11:50,2021-01-01 00:32:51,41,167,
HV0005,B02510,2021-01-01 00:40:24,2021-01-01 00:52:55,47,42,
HV0005,B02510,2021-01-01 00:58:44,2021-01-01 01:18:00,42,226,
HV0005,B02510,2021-01-01 00:19:54,2021-01-01 00:58:06,230,87,
HV0005,B02510,2021-01-01 00:32:25,2021-01-01 00:46:36,148,68,
HV0003,B02764,2021-01-01 00:50:42,2021-01-01 01:11:07,68,112,
HV0005,B02510,2021-01-01 00:23:58,2021-01-01 00:31:20,263,140,
HV0005,B02510,2021-01-01 00:38:50,2021-01-01 00:51:59,262,143,
HV0005,B02510,2021-01-01 00:07:35,2021-01-01 00:15:24,68,68,
HV0005,B02510,2021-01-01 00:30:53,2021-01-01 00:46:00,68,79,
HV0005,B02510,2021-01-01 00:49:10,2021-01-01 01:00:51,79,45,
HV0005,B02510,2021-01-01 00:49:52,2021-01-01 01:01:22,231,137,
HV0003,B02617,2021-01-01 00:16:28,2021-01-01 00:32:33,238,153,
HV0003,B02617,2021-01-01 00:37:15,2021-01-01 00:43:54,153,243,
HV0003,B02617,2021-01-01 00:47:38,2021-01-01 01:01:32,127,74,
HV0003,B02682,2021-01-01 00:09:54,2021-01-01 00:16:04,48,143,
HV0003,B02682,2021-01-01 00:17:48,2021-01-01 00:31:58,143,42,
HV0003,B02682,2021-01-01 00:35:52,2021-01-01 00:55:05,42,250,
HV0003,B02869,2021-01-01 00:05:59,2021-01-01 00:14:38,76,77,
HV0003,B02869,2021-01-01 00:21:41,2021-01-01 00:51:16,77,126,
HV0003,B02869,2021-01-01 00:55:36,2021-01-01 01:09:13,126,213,
HV0003,B02866,2021-01-01 00:54:24,2021-01-01 01:11:15,79,255,
HV0003,B02869,2021-01-01 00:23:05,2021-01-01 00:29:40,37,37,
HV0003,B02869,2021-01-01 00:31:47,2021-01-01 00:45:23,37,17,
HV0003,B02869,2021-01-01 00:51:41,2021-01-01 00:57:38,61,225,
HV0005,B02510,2021-01-01 00:12:26,2021-01-01 00:22:22,224,170,
HV0005,B02510,2021-01-01 00:28:38,2021-01-01 00:58:02,186,60,
HV0003,B02889,2021-01-01 00:15:56,2021-01-01 00:26:18,164,141,
HV0003,B02889,2021-01-01 00:32:56,2021-01-01 00:40:34,140,75,
HV0003,B02889,2021-01-01 00:44:20,2021-01-01 00:58:36,75,45,
HV0003,B02682,2021-01-01 00:07:16,2021-01-01 00:55:45,152,177,
HV0003,B02682,2021-01-01 00:59:27,2021-01-01 01:08:33,177,76,
HV0005,B02510,2021-01-01 00:41:09,2021-01-01 01:06:35,132,74,
HV0003,B02864,2021-01-01 00:32:10,2021-01-01 00:38:54,125,13,
HV0003,B02864,2021-01-01 00:50:32,2021-01-01 01:00:56,13,224,
HV0005,B02510,2021-01-01 00:14:05,2021-01-01 00:31:57,119,75,
HV0005,B02510,2021-01-01 00:37:21,2021-01-01 00:51:10,74,169,
HV0005,B02510,2021-01-01 00:53:50,2021-01-01 01:01:55,169,94,
HV0003,B02764,2021-01-01 00:20:31,2021-01-01 00:26:40,91,71,
HV0003,B02764,2021-01-01 00:32:01,2021-01-01 00:43:23,89,72,
HV0003,B02764,2021-01-01 00:47:07,2021-01-01 00:51:17,72,72,
HV0003,B02764,2021-01-01 00:54:22,2021-01-01 01:17:04,72,76,
HV0003,B02836,2021-01-01 00:24:15,2021-01-01 00:40:35,151,229,
HV0003,B02836,2021-01-01 00:55:37,2021-01-01 01:11:04,237,226,
HV0005,B02510,2021-01-01 00:31:15,2021-01-01 00:36:46,249,186,
HV0005,B02510,2021-01-01 00:48:38,2021-01-01 01:29:35,48,265,
HV0003,B02835,2021-01-01 00:09:38,2021-01-01 00:18:42,127,244,
HV0003,B02835,2021-01-01 00:23:01,2021-01-01 00:28:24,243,127,
HV0003,B02835,2021-01-01 00:33:13,2021-01-01 00:49:39,127,212,
HV0003,B02835,2021-01-01 00:53:54,2021-01-01 01:06:47,212,168,
HV0005,B02510,2021-01-01 00:04:36,2021-01-01 00:17:11,52,255,
HV0005,B02510,2021-01-01 00:37:41,2021-01-01 01:06:04,112,36,
HV0005,B02510,2021-01-01 00:17:59,2021-01-01 00:26:04,78,167,
HV0005,B02510,2021-01-01 00:31:39,2021-01-01 00:41:12,167,213,
HV0003,B02764,2021-01-01 00:49:29,2021-01-01 01:01:12,212,167,
HV0003,B02835,2021-01-01 00:26:23,2021-01-01 01:16:47,68,14,
HV0003,B02869,2021-01-01 00:23:12,2021-01-01 00:35:36,262,168,
HV0003,B02869,2021-01-01 00:40:40,2021-01-01 00:53:07,69,127,
HV0003,B02869,2021-01-01 00:55:34,2021-01-01 01:15:13,127,265,
HV0003,B02764,2021-01-01 00:18:49,2021-01-01 00:50:25,211,254,
HV0003,B02764,2021-01-01 00:53:05,2021-01-01 01:04:18,32,18,
HV0003,B02867,2021-01-01 00:08:23,2021-01-01 00:18:26,188,89,
HV0005,B02510,2021-01-01 00:16:05,2021-01-01 00:37:28,73,258,
HV0003,B02877,2021-01-01 00:43:16,2021-01-01 00:51:51,258,134,
HV0003,B02877,2021-01-01 00:52:15,2021-01-01 01:11:06,134,82,
HV0005,B02510,2021-01-01 00:39:30,2021-01-01 01:03:12,37,36,
HV0003,B02869,2021-01-01 00:28:08,2021-01-01 00:34:49,256,37,
HV0005,B02510,2021-01-01 00:29:18,2021-01-01 00:35:58,17,225,
HV0005,B02510,2021-01-01 00:40:52,2021-01-01 01:02:01,225,40,
HV0005,B02510,2021-01-01 00:25:08,2021-01-01 00:43:42,75,244,
HV0005,B02510,2021-01-01 00:47:02,2021-01-01 00:56:12,244,244,
HV0003,B02875,2021-01-01 00:36:23,2021-01-01 00:49:11,234,143,
HV0003,B02875,2021-01-01 00:51:24,2021-01-01 01:01:19,143,230,
HV0003,B02836,2021-01-01 00:21:46,2021-01-01 00:38:08,80,36,
HV0003,B02836,2021-01-01 00:44:22,2021-01-01 01:15:07,198,239,
HV0005,B02510,2021-01-01 00:16:04,2021-01-01 00:24:19,181,40,
HV0005,B02510,2021-01-01 00:27:37,2021-01-01 00:31:33,52,54,
HV0005,B02510,2021-01-01 00:35:19,2021-01-01 00:47:53,52,181,
HV0005,B02510,2021-01-01 00:49:55,2021-01-01 01:00:41,181,40,
HV0003,B02617,2021-01-01 00:01:20,2021-01-01 00:07:39,151,238,
HV0003,B02617,2021-01-01 00:10:07,2021-01-01 00:19:39,238,75,
HV0003,B02617,2021-01-01 00:23:06,2021-01-01 00:52:07,75,18,
HV0003,B02617,2021-01-01 00:56:04,2021-01-01 01:15:16,241,51,
HV0003,B02764,2021-01-01 00:20:38,2021-01-01 00:29:26,259,81,
HV0003,B02764,2021-01-01 00:33:14,2021-01-01 00:38:06,254,259,
HV0003,B02764,2021-01-01 00:44:10,2021-01-01 00:49:45,81,81,
HV0003,B02764,2021-01-01 00:54:39,2021-01-01 01:05:22,3,32,
HV0005,B02510,2021-01-01 00:19:29,2021-01-01 00:32:22,239,116,
HV0005,B02510,2021-01-01 00:35:24,2021-01-01 00:53:31,116,18,
HV0005,B02510,2021-01-01 00:19:41,2021-01-01 00:34:50,141,143,
HV0003,B02764,2021-01-01 00:04:46,2021-01-01 00:11:58,79,141,
HV0003,B02764,2021-01-01 00:38:03,2021-01-01 00:42:18,143,142,
HV0003,B02764,2021-01-01 00:45:44,2021-01-01 00:56:29,142,41,
HV0003,B02764,2021-01-01 00:44:55,2021-01-01 00:57:11,74,42,
HV0005,B02510,2021-01-01 00:40:26,2021-01-01 00:51:37,80,36,
HV0005,B02510,2021-01-01 00:54:42,2021-01-01 01:01:15,36,36,
HV0005,B02510,2021-01-01 00:32:45,2021-01-01 00:59:46,130,232,
HV0003,B02764,2021-01-01 00:51:26,2021-01-01 00:54:29,170,170,
HV0003,B02765,2021-01-01 00:46:03,2021-01-01 01:21:10,230,71,
HV0003,B02888,2021-01-01 00:53:37,2021-01-01 01:06:05,87,80,
HV0003,B02884,2021-01-01 00:20:36,2021-01-01 00:43:17,238,265,
HV0003,B02875,2021-01-01 00:05:53,2021-01-01 00:13:52,97,189,
HV0003,B02765,2021-01-01 00:14:25,2021-01-01 00:22:03,164,158,
HV0003,B02765,2021-01-01 00:35:19,2021-01-01 01:04:12,249,85,
HV0005,B02510,2021-01-01 00:25:25,2021-01-01 00:56:51,48,181,
HV0003,B02764,2021-01-01 00:18:01,2021-01-01 00:38:52,74,163,
HV0003,B02764,2021-01-01 00:46:05,2021-01-01 00:56:03,230,237,
HV0003,B02872,2021-01-01 00:10:03,2021-01-01 00:16:12,202,179,
HV0003,B02872,2021-01-01 00:19:38,2021-01-01 00:39:17,179,157,
HV0003,B02872,2021-01-01 00:57:32,2021-01-01 01:08:36,37,36,
HV0003,B02395,2021-01-01 00:39:15,2021-01-01 00:54:19,223,7,
HV0003,B02875,2021-01-01 00:33:25,2021-01-01 01:07:43,33,24,
HV0003,B02879,2021-01-01 00:20:14,2021-01-01 00:31:48,169,168,
HV0003,B02879,2021-01-01 00:43:34,2021-01-01 00:51:23,168,159,
HV0003,B02879,2021-01-01 00:57:11,2021-01-01 01:07:30,168,126,
HV0003,B02866,2021-01-01 00:13:28,2021-01-01 00:31:48,49,37,
HV0003,B02866,2021-01-01 00:33:35,2021-01-01 00:50:00,37,63,
HV0003,B02866,2021-01-01 00:55:44,2021-01-01 01:02:57,76,76,
HV0003,B02877,2021-01-01 00:09:29,2021-01-01 00:28:43,255,36,
HV0003,B02877,2021-01-01 00:33:27,2021-01-01 00:45:59,36,134,
HV0003,B02877,2021-01-01 00:48:52,2021-01-01 01:05:10,134,53,
HV0003,B02617,2021-01-01 00:19:33,2021-01-01 00:31:24,198,80,
HV0003,B02617,2021-01-01 00:57:36,2021-01-01 01:19:49,112,24,
HV0003,B02869,2021-01-01 00:19:05,2021-01-01 00:43:14,7,254,
HV0003,B02869,2021-01-01 00:47:21,2021-01-01 01:02:22,254,243,
HV0005,B02510,2021-01-01 00:16:54,2021-01-01 00:35:21,41,213,
HV0005,B02510,2021-01-01 00:39:09,2021-01-01 00:53:37,213,18,
HV0005,B02510,2021-01-01 00:56:07,2021-01-01 01:09:57,18,247,
HV0003,B02878,2021-01-01 00:08:05,2021-01-01 00:13:35,259,259,
HV0003,B02878,2021-01-01 00:17:25,2021-01-01 00:38:59,259,250,
HV0003,B02878,2021-01-01 00:43:32,2021-01-01 01:02:38,250,151,
HV0003,B02682,2021-01-01 00:23:51,2021-01-01 00:29:10,22,21,
HV0003,B02682,2021-01-01 00:31:28,2021-01-01 00:38:23,21,108,
HV0003,B02682,2021-01-01 00:42:31,2021-01-01 00:57:25,108,155,
HV0003,B02764,2021-01-01 00:06:20,2021-01-01 00:11:32,197,216,
HV0003,B02764,2021-01-01 00:20:20,2021-01-01 00:36:49,216,70,
HV0003,B02764,2021-01-01 00:40:09,2021-01-01 00:47:12,70,82,
HV0003,B02764,2021-01-01 00:50:59,2021-01-01 00:53:56,82,82,
HV0005,B02510,2021-01-01 00:20:26,2021-01-01 00:41:46,166,234,
HV0005,B02510,2021-01-01 00:52:06,2021-01-01 01:09:19,170,129,
HV0005,B02510,2021-01-01 00:11:41,2021-01-01 00:23:35,235,60,
HV0005,B02510,2021-01-01 00:27:25,2021-01-01 00:42:25,167,182,
HV0003,B02888,2021-01-01 00:31:50,2021-01-01 00:45:50,80,145,
HV0003,B02888,2021-01-01 00:49:05,2021-01-01 00:58:39,145,145,
HV0003,B02869,2021-01-01 00:14:31,2021-01-01 00:33:48,97,158,
HV0003,B02869,2021-01-01 00:42:06,2021-01-01 00:59:10,231,40,
HV0005,B02510,2021-01-01 00:25:16,2021-01-01 00:42:39,137,80,
HV0005,B02510,2021-01-01 00:46:56,2021-01-01 01:06:59,80,89,
HV0003,B02882,2021-01-01 00:42:43,2021-01-01 00:58:52,69,213,
HV0003,B02765,2021-01-01 00:15:09,2021-01-01 00:23:06,170,79,
HV0003,B02765,2021-01-01 00:58:37,2021-01-01 01:12:59,137,33,
HV0003,B02617,2021-01-01 00:49:13,2021-01-01 00:55:08,232,45,
HV0003,B02869,2021-01-01 00:11:35,2021-01-01 00:19:09,17,225,
HV0003,B02869,2021-01-01 00:33:18,2021-01-01 00:37:15,61,225,
HV0003,B02869,2021-01-01 00:43:03,2021-01-01 01:01:06,225,76,
HV0003,B02888,2021-01-01 00:26:11,2021-01-01 00:35:51,223,173,
HV0003,B02888,2021-01-01 00:39:31,2021-01-01 00:55:47,173,97,
HV0005,B02510,2021-01-01 00:35:35,2021-01-01 00:48:24,234,68,
HV0005,B02510,2021-01-01 00:50:38,2021-01-01 01:03:50,68,238,
HV0003,B02836,2021-01-01 00:34:26,2021-01-01 00:48:34,161,179,
HV0003,B02836,2021-01-01 00:53:49,2021-01-01 01:13:50,179,243,
HV0005,B02510,2021-01-01 00:12:29,2021-01-01 00:34:58,77,157,
HV0005,B02510,2021-01-01 00:42:02,2021-01-01 00:51:18,157,260,
HV0005,B02510,2021-01-01 00:52:38,2021-01-01 01:06:15,260,112,
HV0005,B02510,2021-01-01 00:44:46,2021-01-01 00:54:21,79,232,
HV0005,B02510,2021-01-01 00:26:42,2021-01-01 00:31:08,28,130,
HV0005,B02510,2021-01-01 00:33:19,2021-01-01 01:00:28,215,265,
HV0005,B02510,2021-01-01 00:17:27,2021-01-01 00:31:31,75,243,
HV0005,B02510,2021-01-01 00:34:35,2021-01-01 00:42:25,243,152,
HV0005,B02510,2021-01-01 00:45:45,2021-01-01 01:10:24,152,69,
HV0003,B02869,2021-01-01 00:24:42,2021-01-01 00:48:16,125,37,
HV0003,B02869,2021-01-01 00:50:13,2021-01-01 00:53:34,37,36,
HV0003,B02835,2021-01-01 00:46:44,2021-01-01 01:03:49,143,224,
HV0003,B02884,2021-01-01 00:12:13,2021-01-01 00:23:37,244,235,
HV0003,B02884,2021-01-01 00:27:35,2021-01-01 00:35:36,235,235,
HV0003,B02884,2021-01-01 00:40:46,2021-01-01 01:08:08,235,129,
HV0003,B02879,2021-01-01 00:20:49,2021-01-01 00:28:48,223,7,
HV0005,B02510,2021-01-01 00:15:28,2021-01-01 00:21:12,231,33,
HV0003,B02878,2021-01-01 00:28:24,2021-01-01 00:57:02,33,231,
HV0005,B02510,2021-01-01 00:25:08,2021-01-01 00:36:39,226,157,
HV0005,B02510,2021-01-01 00:42:54,2021-01-01 01:03:29,157,25,
HV0003,B02836,2021-01-01 00:29:21,2021-01-01 00:39:07,129,173,
HV0003,B02836,2021-01-01 00:45:24,2021-01-01 00:55:42,70,92,
HV0005,B02510,2021-01-01 00:37:33,2021-01-01 00:50:34,61,77,
HV0005,B02510,2021-01-01 00:53:59,2021-01-01 01:04:54,76,35,
HV0005,B02510,2021-01-01 00:28:21,2021-01-01 00:41:30,90,50,
HV0003,B02764,2021-01-01 00:43:37,2021-01-01 00:49:32,17,61,
HV0003,B02764,2021-01-01 00:55:03,2021-01-01 01:12:41,61,177,
HV0005,B02510,2021-01-01 00:56:07,2021-01-01 01:21:06,249,7,
HV0003,B02878,2021-01-01 00:00:50,2021-01-01 00:13:16,49,37,
HV0003,B02878,2021-01-01 00:19:08,2021-01-01 00:40:19,37,234,
HV0003,B02764,2021-01-01 00:12:47,2021-01-01 00:38:06,35,225,
HV0003,B02764,2021-01-01 00:41:54,2021-01-01 00:51:39,225,36,
HV0003,B02764,2021-01-01 00:54:01,2021-01-01 01:20:22,36,129,
HV0003,B02512,2021-01-01 00:25:22,2021-01-01 00:42:22,170,230,
HV0003,B02888,2021-01-01 00:19:37,2021-01-01 00:29:11,125,170,
HV0003,B02888,2021-01-01 00:36:03,2021-01-01 00:42:18,107,113,
HV0003,B02888,2021-01-01 00:49:31,2021-01-01 00:54:50,113,90,
HV0003,B02888,2021-01-01 00:14:51,2021-01-01 00:31:44,4,42,
HV0003,B02888,2021-01-01 00:35:39,2021-01-01 00:40:21,42,42,
HV0003,B02882,2021-01-01 00:23:12,2021-01-01 00:46:01,256,150,
HV0003,B02617,2021-01-01 00:12:00,2021-01-01 00:21:49,82,56,
HV0003,B02617,2021-01-01 00:27:12,2021-01-01 00:30:48,56,56,
HV0003,B02864,2021-01-01 00:04:13,2021-01-01 00:25:11,107,230,
HV0003,B02864,2021-01-01 00:57:06,2021-01-01 01:18:02,239,33,
HV0003,B02765,2021-01-01 00:05:09,2021-01-01 00:11:48,244,243,
HV0003,B02765,2021-01-01 00:17:27,2021-01-01 00:33:39,243,168,
HV0003,B02765,2021-01-01 00:38:14,2021-01-01 00:54:23,168,208,
HV0003,B02765,2021-01-01 00:58:50,2021-01-01 01:10:49,208,242,
HV0003,B02869,2021-01-01 00:08:37,2021-01-01 00:19:22,144,137,
HV0003,B02869,2021-01-01 00:43:25,2021-01-01 00:50:34,80,112,
HV0003,B02765,2021-01-01 00:22:44,2021-01-01 00:45:05,166,213,
HV0003,B02765,2021-01-01 00:49:32,2021-01-01 01:11:46,213,247,
HV0003,B02882,2021-01-01 00:13:04,2021-01-01 00:26:40,141,68,
HV0003,B02882,2021-01-01 00:34:49,2021-01-01 00:50:19,68,114,
