==> green_tripdata_2019-01.csv <==
VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2019-01-01 00:57:57,2019-01-01 01:20:10,N,1,85,177,1,3.61,17,0.5,0.5,0,0,,0.3,18.3,1,1,
1,2019-01-01 00:09:02,2019-01-01 00:17:50,N,1,256,80,1,1.20,7.5,0.5,0.5,5.2,0,,0.3,14,1,1,
1,2019-01-01 00:22:12,2019-01-01 00:25:29,N,1,80,80,1,.50,4,0.5,0.5,0,0,,0.3,5.3,2,1,
1,2019-01-01 00:31:55,2019-01-01 00:52:59,N,1,256,229,1,5.50,19.5,0.5,0.5,4.15,0,,0.3,24.95,1,1,
2,2019-01-01 00:30:20,2019-01-01 00:54:19,N,1,255,231,1,5.01,20,0.5,0.5,4.26,0,,0.3,25.56,1,1,
2,2018-12-31 23:58:06,2019-01-01 00:00:57,N,1,146,7,1,.43,4,0.5,0.5,1.06,0,,0.3,6.36,1,1,
2,2019-01-01 00:40:17,2019-01-01 00:50:23,N,1,146,129,1,2.72,10.5,0.5,0.5,2.36,0,,0.3,14.16,1,1,
2,2019-01-01 00:51:16,2019-01-01 01:04:10,N,1,129,157,1,2.15,10.5,0.5,0.5,2.95,0,,0.3,14.75,1,1,
2,2019-01-01 00:30:28,2019-01-01 00:41:18,N,1,256,112,5,2.18,9.5,0.5,0.5,3.24,0,,0.3,14.04,1,1,
2,2019-01-01 00:26:59,2019-01-01 01:01:33,N,1,66,68,5,6.66,25.5,0.5,0.5,0,0,,0.3,26.8,2,1,
2,2019-01-01 00:39:09,2019-01-01 00:42:32,N,1,7,7,1,.57,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,
2,2019-01-01 00:35:13,2019-01-01 01:18:53,N,1,74,62,1,13.90,44,0.5,0.5,0,0,,0.3,45.3,1,1,
1,2019-01-01 00:35:52,2019-01-01 00:40:00,N,1,7,260,1,.80,5,0.5,0.5,0,0,,0.3,6.3,2,1,
1,2019-01-01 00:48:27,2019-01-01 00:55:49,N,1,7,223,1,1.40,7,0.5,0.5,0,0,,0.3,8.3,2,1,
2,2019-01-01 00:01:21,2019-01-01 00:08:45,N,1,97,181,1,1.21,7,0.5,0.5,0,0,,0.3,8.3,2,1,
2,2019-01-01 00:24:39,2019-01-01 00:43:17,N,1,181,17,1,2.74,14,0.5,0.5,2,0,,0.3,17.3,1,1,
2,2019-01-01 00:44:25,2019-01-01 00:53:03,N,1,17,256,1,1.99,8.5,0.5,0.5,2.45,0,,0.3,12.25,1,1,
2,2019-01-01 00:44:58,2019-01-01 01:13:46,N,1,41,254,1,9.97,32,0.5,0.5,0,0,,0.3,33.3,1,1,
2,2019-01-01 00:08:07,2019-01-01 00:18:36,N,1,182,182,3,1.36,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,
2,2019-01-01 00:40:23,2019-01-01 00:56:12,N,1,106,89,2,2.80,13,0.5,0.5,0,0,,0.3,14.3,1,1,
2,2019-01-01 00:29:46,2019-01-01 00:41:09,N,1,181,52,6,1.52,9,0.5,0.5,2.06,0,,0.3,12.36,1,1,
2,2019-01-01 00:01:17,2019-01-01 00:21:33,N,1,106,14,1,3.08,15,0.5,0.5,0,0,,0.3,16.3,2,1,
2,2019-01-01 00:59:07,2019-01-01 01:30:20,N,1,97,42,1,12.03,35.5,0.5,0.5,0,0,,0.3,36.8,2,1,
2,2019-01-01 00:44:31,2019-01-01 01:25:32,N,1,223,223,1,13.54,42.5,0.5,0.5,0,0,,0.3,43.8,2,1,
2,2019-01-01 00:23:15,2019-01-01 01:10:07,N,1,95,262,1,10.76,40,0.5,0.5,0,0,,0.3,41.3,1,1,
2,2019-01-01 00:33:41,2019-01-01 00:54:35,N,1,75,137,1,4.58,16.5,0.5,0.5,3.56,0,,0.3,21.36,1,1,
2,2019-01-01 00:33:40,2019-01-01 00:59:29,N,1,119,32,1,5.52,21.5,0.5,0.5,0,0,,0.3,22.8,1,1,
2,2019-01-01 00:31:28,2019-01-01 00:57:27,N,5,255,91,3,10.98,30,0,0,6,0,,0,36,1,2,
1,2019-01-01 00:19:22,2019-01-01 00:31:33,N,1,66,65,2,1.40,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,
1,2019-01-01 00:45:24,2019-01-01 01:09:30,N,1,49,35,2,4.10,18,0.5,0.5,0,0,,0.3,19.3,1,1,
2,2019-01-01 01:00:28,2019-01-01 01:16:36,N,1,173,129,1,2.26,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,
2,2019-01-01 00:41:11,2019-01-01 00:48:14,N,1,166,74,1,1.43,7,0.5,0.5,2.49,0,,0.3,10.79,1,1,
2,2019-01-01 00:55:18,2019-01-01 00:58:08,N,1,223,223,1,.76,4.5,0.5,0.5,1.45,0,,0.3,7.25,1,1,
1,2019-01-01 00:18:13,2019-01-01 00:32:22,N,1,145,146,4,2.50,11,0.5,0.5,0,0,,0.3,12.3,2,1,
1,2019-01-01 00:59:59,2019-01-01 01:12:23,N,1,146,237,2,2.80,12,0.5,0.5,2.65,0,,0.3,15.95,1,1,
2,2019-01-01 00:51:48,2019-01-01 00:51:58,N,5,145,145,2,.00,50,0,0,10,0,,0,60,1,2,
2,2019-01-01 00:39:04,2019-01-01 00:52:06,N,1,260,95,4,3.14,13,0.5,0.5,0,0,,0.3,14.3,2,1,
2,2019-01-01 00:47:37,2019-01-01 00:50:08,N,1,116,42,1,.74,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,
1,2019-01-01 00:50:16,2019-01-01 01:25:21,N,1,256,263,2,8.90,31,0.5,0.5,0,0,,0.3,32.3,2,1,
2,2019-01-01 00:23:10,2019-01-01 00:39:03,N,1,112,61,1,4.65,16,0.5,0.5,3.46,0,,0.3,20.76,1,1,
2,2019-01-01 00:55:59,2019-01-01 01:48:31,N,1,17,21,1,9.98,41,0.5,0.5,0,0,,0.3,42.3,1,1,
1,2019-01-01 00:39:43,2019-01-01 00:54:21,N,1,242,94,1,2.20,11.5,0.5,0.5,0,0,,0.3,12.8,1,1,
2,2019-01-01 00:10:35,2019-01-01 00:32:51,N,1,42,233,1,6.44,22,0.5,0.5,0,0,,0.3,23.3,2,1,
2,2019-01-01 00:12:41,2019-01-01 00:29:20,N,1,37,177,1,2.22,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,
2,2019-01-01 00:44:36,2019-01-01 00:58:31,N,1,80,255,1,2.27,11,0.5,0.5,0,0,,0.3,12.3,2,1,
2,2019-01-01 01:02:35,2019-01-01 01:07:00,N,1,255,80,1,.88,5,0.5,0.5,0,0,,0.3,6.3,2,1,
2,2019-01-01 00:08:09,2019-01-01 00:35:40,N,1,66,186,2,8.73,28.5,0.5,0.5,0,0,,0.3,29.8,2,1,
2,2019-01-01 00:46:27,2019-01-01 01:22:54,N,1,25,233,1,7.00,30.5,0.5,0.5,6.36,0,,0.3,38.16,1,1,
1,2019-01-01 00:00:51,2019-01-01 00:03:15,N,1,116,116,1,.40,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,
1,2019-01-01 00:52:26,2019-01-01 00:59:56,N,1,42,159,1,1.40,7,0.5,0.5,0,0,,0.3,8.3,2,1,
2,2019-01-01 00:10:43,2019-01-01 00:15:37,N,1,42,41,1,.89,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,
2,2019-01-01 00:18:39,2019-01-01 00:21:48,N,1,74,74,1,.29,4,0.5,0.5,0,0,,0.3,5.3,2,1,
2,2019-01-01 00:12:45,2019-01-01 00:25:00,N,1,95,95,1,2.11,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,
2,2019-01-01 00:43:00,2019-01-01 00:53:38,N,1,95,216,1,3.40,12,0.5,0.5,0,0,,0.3,13.3,2,1,
2,2019-01-01 00:39:51,2019-01-01 00:43:05,N,1,260,83,3,.75,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,
1,2019-01-01 00:52:32,2019-01-01 00:55:48,N,1,228,227,1,.70,4.5,0.5,0.5,0,0,,0.3,5.8,3,1,
1,2019-01-01 00:26:04,2019-01-01 00:42:16,N,1,42,224,1,7.10,21.5,0.5,0.5,4.55,0,,0.3,27.35,1,1,
1,2019-01-01 00:36:35,2019-01-01 00:54:14,N,1,152,68,1,6.30,20.5,0.5,0.5,0,0,,0.3,21.8,2,1,
2,2019-01-01 00:05:29,2019-01-01 00:07:24,N,1,25,40,1,.76,4,0.5,0.5,0,0,,0.3,5.3,2,1,
2,2019-01-01 00:24:54,2019-01-01 00:27:14,N,1,66,33,1,.24,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,
2,2019-01-01 00:28:31,2019-01-01 00:30:24,N,1,33,33,1,.39,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,
2,2019-01-01 00:31:27,2019-01-01 00:56:07,N,1,33,70,1,11.73,33.5,0.5,0.5,6.96,0,,0.3,41.76,1,1,
2,2019-01-01 00:38:22,2019-01-01 00:50:32,N,1,25,80,5,4.66,15.5,0.5,0.5,3.36,0,,0.3,20.16,1,1,
2,2019-01-01 00:51:47,2019-01-01 01:04:03,N,1,80,17,5,1.58,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1,
2,2019-01-01 00:06:52,2019-01-01 00:23:35,N,1,116,74,1,2.58,13,0.5,0.5,0,0,,0.3,14.3,2,1,
2,2019-01-01 00:29:33,2019-01-01 00:37:17,N,1,75,238,1,1.67,8,0.5,0.5,0,0,,0.3,9.3,2,1,
2,2019-01-01 00:51:56,2019-01-02 00:37:17,N,1,41,42,1,1.61,8,0.5,0.5,1.4,0,,0.3,10.7,1,1,
2,2019-01-01 01:01:56,2019-01-01 01:21:03,N,1,42,143,1,5.75,19.5,0.5,0.5,0,0,,0.3,20.8,2,1,
2,2019-01-01 00:00:15,2019-01-01 00:11:28,N,1,42,213,1,5.17,16,0.5,0.5,0,0,,0.3,17.3,1,1,
2,2019-01-01 00:40:18,2019-01-01 01:03:58,N,1,236,186,1,4.36,18,0.5,0.5,0,0,,0.3,19.3,2,1,
2,2019-01-01 00:15:19,2019-01-01 00:42:21,N,1,37,195,1,7.57,25,0.5,0.5,0,0,,0.3,26.3,1,1,
2,2019-01-01 00:56:06,2019-01-01 01:29:56,N,1,25,142,1,9.17,30.5,0.5,0.5,3.88,0,,0.3,35.68,1,1,
1,2019-01-01 00:40:34,2019-01-01 00:51:16,N,1,41,163,1,3.40,
